PUBUKPRN,KISCOURSEID,KISMODE
10003956,KUZBAMARSOC4FF,1
10003956,KUZBAMARSOCF,1
10003956,KUZBAMATMAC4FF,1
10003956,KUZBAMATMACF,1
10003956,KUZBAMATPLI4FF,1
10003956,KUZBAMATPLIF,1
10003956,KUZBAMATSCR4FF,1
10003956,KUZBAMATSCRF,1
10003956,KUZBAMATSEN4FF,1
10003956,KUZBAMATSENF,1
10003956,KUZBAMSTPLI4FF,1
10003956,KUZBAMSTPLIF,1
10003956,KUZBAMSTPSY4FF,1
10003956,KUZBAMSTPSYF,1
10003956,KUZBAMSTSCR4FF,1
10003956,KUZBAMSTSCRF,1
10003956,KUZBAMSTSEN4FF,1
10003956,KUZBAMSTSENF,1
10003956,KUZBAMUPPLI4FF,1
10003956,KUZBAMUPPLIF,1
10003956,KUZBAMUPPSYF,1
10003956,KUZBAMUPSCR4FF,1
10003956,KUZBAMUPSCRF,1
10003956,KUZBAMUPSOC4FF,1
10003956,KUZBAMUPSOCF,1
10003956,KUZBAMUSPLI4FF,1
10003956,KUZBAMUSPLIF,1
10003956,KUZBAMUSPSY4FF,1
10003956,KUZBAMUSPSYF,1
10003956,KUZBAMUSSCR4FF,1
10003956,KUZBAMUSSCRF,1
10003956,KUZBAMUSSEN4FF,1
10003956,KUZBAMUSSENF,1
10003956,KUZBANUTASCRF,1
10003956,KUZBANUTPLI4FF,1
10003956,KUZBANUTPLIF,1
10003956,KUZBANUTSCR4FF,1
10003956,KUZBANUTSEN4FF,1
10003956,KUZBANUTSENF,1
10003956,KUZBAPHESEN4FF,1
10003956,KUZBAPHESENF,1
10003956,KUZBAPHESOC4FF,1
10003956,KUZBAPHESOCF,1
10003956,KUZBAPIN4FF,1
10003956,KUZBAPINF,1
10003956,KUZBAPLIRSS4FF,1
10003956,KUZBAPLIRSSF,1
10003956,KUZBAPLISEN4FF,1
10003956,KUZBAPLISENF,1
10003956,KUZBAPLISES4FF,1
10003956,KUZBAPLISESF,1
10003956,KUZBAPLISOC4FF,1
10003956,KUZBAPLISOCF,1
10003956,KUZBAPLISPH4FF,1
10003956,KUZBAPLISPHF,1
10003956,KUZBAPLITHO4FF,1
10003956,KUZBAPLITHOF,1
10003956,KUZBAPLITOR4FF,1
10003956,KUZBAPLITORF,1
10003956,KUZBAPSYRSS4FF,1
10003956,KUZBAPSYRSSF,1
10003956,KUZBAPSYSEN4FF,1
10003956,KUZBAPSYSENF,1
10003956,KUZBAPSYSOC4FF,1
10003956,KUZBAPSYSOCF,1
10003956,KUZBAPSYTHO4FF,1
10003956,KUZBAPSYTHOF,1
10003956,KUZBAPSYTOR4FF,1
10003956,KUZBAPSYTORF,1
10003956,KUZBARSSSCR4FF,1
